                     Solution for Random Effects
 
                                    Std Err
  Effect     plot  past  Estimate      Pred    DF  t Value  Pr > |t|
 
  plot       1            -4.0362    2.1528  2.14    -1.87    0.1934
  plot       2             2.0781    2.1528  2.14     0.97    0.4306
  plot       3             1.9582    2.1528  2.14     0.91    0.4537
  plot*past  1     1       0.1783    1.0727  1.79     0.17    0.8849
  plot*past  1     2       0.1783    1.0727  1.79     0.17    0.8849
  plot*past  1     3      -0.4650    1.0727  1.79    -0.43    0.7113
  plot*past  1     4      -0.2237    1.0727  1.79    -0.21    0.8561
  plot*past  2     1      -0.6005    1.0727  1.79    -0.56    0.6377
  plot*past  2     2       0.8468    1.0727  1.79     0.79    0.5210
  plot*past  2     3       0.2036    1.0727  1.79     0.19    0.8688
  plot*past  2     4      -0.2789    1.0727  1.79    -0.26    0.8217
  plot*past  3     1       0.4222    1.0727  1.79     0.39    0.7358
  plot*past  3     2      -1.0251    1.0727  1.79    -0.96    0.4502
  plot*past  3     3       0.2614    1.0727  1.79     0.24    0.8326
  plot*past  3     4       0.5026    1.0727  1.79     0.47    0.6903
