                     Solution for Random Effects
 
                                    Std Err
  Effect     plot  past  Estimate      Pred    DF  t Value  Pr > |t|
 
  plot       1            -4.0362    2.1436     8    -1.88    0.0965
  plot       2             2.0781    2.1436     8     0.97    0.3607
  plot       3             1.9582    2.1436     8     0.91    0.3877
  plot*past  1     1       0.1783    0.8901     8     0.20    0.8462
  plot*past  1     2       0.1783    0.8901     8     0.20    0.8462
  plot*past  1     3      -0.4650    0.8901     8    -0.52    0.6156
  plot*past  1     4      -0.2237    0.8901     8    -0.25    0.8079
  plot*past  2     1      -0.6005    0.8901     8    -0.67    0.5189
  plot*past  2     2       0.8468    0.8901     8     0.95    0.3693
  plot*past  2     3       0.2036    0.8901     8     0.23    0.8248
  plot*past  2     4      -0.2789    0.8901     8    -0.31    0.7621
  plot*past  3     1       0.4222    0.8901     8     0.47    0.6479
  plot*past  3     2      -1.0251    0.8901     8    -1.15    0.2827
  plot*past  3     3       0.2614    0.8901     8     0.29    0.7765
  plot*past  3     4       0.5026    0.8901     8     0.56    0.5878
