 
         Analysis Of Maximum Likelihood Parameter Estimates
 
                             Standard       Wald 95%             Wald
Parameter      DF  Estimate     Error   Confidence Limits  Chi-Square
 
Intercept       1   -2.2769    0.1048   -2.4823   -2.0714      471.93
sst             1    0.4467    0.6489   -0.8250    1.7185        0.47
sst*loc    1    1   -2.1064    0.8124   -3.6986   -0.5141        6.72
sst*loc    2    1   -0.8862    0.9438   -2.7360    0.9635        0.88
sst*loc    3    1    0.1425    0.8980   -1.6176    1.9026        0.03
sst*loc    4    1   -1.5313    0.8803   -3.2566    0.1939        3.03
sst*loc    5    1   -2.0382    0.8199   -3.6452   -0.4311        6.18
sst*loc    6    1    0.1191    0.9011   -1.6470    1.8852        0.02
sst*loc    7    1    0.6651    0.8234   -0.9488    2.2790        0.65
sst*loc    8    1    0.1367    0.8988   -1.6249    1.8983        0.02
sst*loc    9    1    0.5199    0.8444   -1.1351    2.1749        0.38
sst*loc    10   1   -1.0132    0.9349   -2.8456    0.8192        1.17
sst*loc    11   1    0.6194    0.8300   -1.0074    2.2461        0.56
sst*loc    12   1   -0.1438    0.9309   -1.9682    1.6807        0.02
sst*loc    13   1   -0.3399    0.9456   -2.1933    1.5135        0.13
sst*loc    14   1   -0.2098    0.9367   -2.0456    1.6260        0.05
sst*loc    15   1   -0.3049    0.9435   -2.1542    1.5444        0.10
sst*loc    16   1   -1.4916    0.8850   -3.2262    0.2430        2.84
sst*loc    17   1    0.6435    0.8265   -0.9765    2.2634        0.61
sst*loc    18   1    0.1547    0.8964   -1.6022    1.9116        0.03
sst*loc    19   1   -0.3522    0.9463   -2.2069    1.5025        0.14
sst*loc    20   0    0.0000    0.0000    0.0000    0.0000         .
Scale           0    1.0000    0.0000    1.0000    1.0000
 
