                           Iteration History
 
   Iter     Calls    NegLogLike        Diff     MaxGrad       Slope
 
      1         8    222.858676    6.207839    0.135255    -3.44269
      2        12    221.325222    1.533454    0.108492    -1.10246
      3        16      220.4229    0.902322    0.104243    -0.27509
      4        21    217.621537    2.801363    0.067182    -0.77932
      5        23    217.520935    0.100602    0.080529    -0.72008
      6        25    217.347603    0.173332    0.058901    -0.43968
      7        27    217.190674    0.156929    0.039087    -0.15741
      8        29    217.100941    0.089734    0.032728    -0.10549
      9        31     217.01773     0.08321    0.020822    -0.16928
     10        34    217.000377    0.017353    0.012076    -0.02334
     11        37    216.988644    0.011733    0.013059    -0.00631
     12        39     216.98306    0.005584    0.006165    -0.01167
     13        41    216.980417    0.002642    0.003475    -0.00838
     14        44    216.978694    0.001723    0.001598    -0.00346
     15        48    216.977806    0.000888    0.003132    -0.00003
     16        54    216.842805    0.135001    0.020194    -0.00172
     17        56    216.712242    0.130563    0.007343    -0.11317
     18        59    216.708022     0.00422    0.000293    -0.00773
     19        62    216.708009    0.000013    0.000037    -0.00002
     20        65    216.708009    1.783E-7    3.067E-6    -2.54E-7
