                     Solutions for Fixed Effects
 
                               Standard
  Effect      loc   Estimate      Error      DF   t Value   Pr > |t|
 
  Intercept          -2.2769     0.1048      19    -21.72     <.0001
  sst                 0.4467     0.6489     940      0.69     0.4913
  sst*loc      1     -2.1064     0.8124     940     -2.59     0.0097
  sst*loc      2     -0.8862     0.9438     940     -0.94     0.3479
  sst*loc      3      0.1425     0.8980     940      0.16     0.8740
  sst*loc      4     -1.5313     0.8803     940     -1.74     0.0822
  sst*loc      5     -2.0382     0.8199     940     -2.49     0.0131
  sst*loc      6      0.1191     0.9011     940      0.13     0.8949
  sst*loc      7      0.6651     0.8234     940      0.81     0.4194
  sst*loc      8      0.1367     0.8988     940      0.15     0.8792
  sst*loc      9      0.5199     0.8444     940      0.62     0.5383
  sst*loc     10     -1.0132     0.9349     940     -1.08     0.2788
  sst*loc     11      0.6194     0.8300     940      0.75     0.4557
  sst*loc     12     -0.1438     0.9309     940     -0.15     0.8773
  sst*loc     13     -0.3399     0.9456     940     -0.36     0.7193
  sst*loc     14     -0.2098     0.9367     940     -0.22     0.8228
  sst*loc     15     -0.3049     0.9435     940     -0.32     0.7466
  sst*loc     16     -1.4916     0.8850     940     -1.69     0.0922
  sst*loc     17      0.6435     0.8265     940      0.78     0.4365
  sst*loc     18      0.1547     0.8964     940      0.17     0.8630
  sst*loc     19     -0.3522     0.9463     940     -0.37     0.7098
  sst*loc     20           0          .       .       .        .
